,0
1802,1098120
1803,1189630
1804,1030210
1805,1613284
1806,1797340
1807,543460
1808,1140270
1809,1076160
1810,1044620
1811,1222370
1812,1062830
1813,587110
1814,1173200
1815,952890
1816,1722280
1817,1644210
1818,373930
1819,614570
1820,222440
1821,1524820
1822,1493470
1823,1129050
1824,1086481
1825,826940
1826,798490
1827,1061350
1828,1149550
1829,282470
1830,1250
1831,622650
1832,1074080
1833,1028270
1834,274190
1835,1038370
1836,1052990
1837,821090
1838,385511
1839,1708520
1840,744190
1841,297130
1842,1859280
1843,1203710
1844,995780
1845,332800
1846,1164250
1847,1890520
1848,794800
1849,416420
1850,425580
1851,1108410
1852,2280
1853,1280930
1854,684630
1855,440820
1856,1209490
1857,801630
1858,622450
1859,277590
1860,1767560
1861,268650
1862,1225330
1863,332350
1864,1753181
1865,71340
1866,248390
1867,674500
1868,319630
1869,1225560
1870,1580780
1871,213670
1872,1936590
1873,1405470
1874,382140
1875,1180380
1876,1781030
1877,1038250
1878,768830
1879,1553060
1880,572890
1881,1990860
1882,1535220
1883,203140
1884,257510
1885,519860
1886,1036760
1887,335300
1888,1906330
1889,611660
1890,866140
1891,261030
1892,1078350
1893,1202061
1894,1769170
1895,1782330
1896,515960
1897,273300
1898,471550
1899,644830
1900,1201240
1901,1133000
1902,1058140
1903,606800
1904,1544020
1905,554381
1906,558245
1907,1360000
1908,798390
1909,1798072
1910,988910
1911,1580760
1912,304380
1913,1224940
1914,228180
1915,238370
1916,99611
1917,1039880
1918,1586100
1919,1235750
1920,496300
1921,1164050
1922,1315610
1923,326460
1924,368070
1925,1571440
1926,1559390
1927,704450
1928,743450
1929,55230
1930,235584
1931,1262540
1932,1368570
1933,694880
1934,40700
1935,1787820
1936,1286880
1937,383870
1938,953660
1939,848480
1940,1090200
1941,1498090
1942,1199880
1943,966690
1944,1449310
1945,343780
1946,978780
1947,24790
1948,420
1949,645630
1950,1144410
1951,1259840
1952,1295340
1953,283740
1954,700280
1955,1494470
1956,1929360
1957,865830
1958,386070
1959,1235752
1960,1412470
1961,297000
1962,1076850
1963,1202052
1964,766870
1965,595690
1966,1167140
1967,1145960
1968,710490
1969,941460
1970,1205450
1971,571710
1972,2630
1973,1026680
1974,200260
1975,1377080
1976,1239020
1977,1906240
1978,99610
1979,848030
1980,1317230
1981,16868
1982,949290
1983,380
1984,954740
1985,1455660
1986,350640
1987,1732740
1988,1139940
1989,225340
1990,770810
1991,16866
1992,366090
1993,1839450
1994,368360
1995,416421
1996,1364100
1997,324800
1998,682990
1999,458710
2000,1385100
2001,899970
2002,629520
2003,1070820
2004,1114561
2005,554000
2006,940220
2007,1486710
2008,976900
2009,1235767
2010,1330460
2011,1020470
2012,586140
2013,212500
2014,1173010
2015,356650
2016,759130
2017,1477830
2018,573160
2019,24800
2020,1544404
2021,1301021
2022,1443091
2023,1433570
2024,427100
2025,416600
2026,1726384
2027,1475530
2028,1408230
2029,1545450
2030,239120
2031,375910
2032,1644150
2033,1732390
2034,1432860
2035,1205970
2036,1961300
2037,1782150
2038,700282
2039,355790
2040,681280
2041,651670
2042,491540
2043,1788210
2044,48000
2045,962730
2046,885150
2047,248820
2048,1174400
2049,1947000
2050,865820
2051,1891090
2052,459220
2053,262410
2054,1299530
2055,16810
2056,351970
2057,1619191
2058,1227690
2059,246420
2060,1390350
2061,32470
2062,280
2063,536220
2064,940910
2065,1040420
2066,32440
2067,378648
2068,200710
2069,108710
2070,1257410
2071,1967690
2072,433091
2073,1252600
2074,1233570
2075,1430610
2076,1436590
2077,1017510
2078,588430
2079,208200
2080,387020
2081,1049890
2082,732690
2083,1644490
2084,1235757
2085,1349230
2086,1086480
2087,1401490
2088,334540
2089,1196150
2090,394690
2091,235585
2092,531131
2093,241930
2094,1588530
2095,1164110
2096,494150
2097,375480
2098,45760
2099,1294760
2100,878461
2101,1076080
2102,1088090
2103,250320
2104,1041720
2105,1979540
2106,606880
2107,532110
2108,1357860
2109,1042920
2110,399810
2111,850000
2112,377300
2113,702670
2114,1024380
2115,1330420
2116,2600
2117,1575660
2118,1317250
2119,1194010
2120,559210
2121,1222800
2122,878464
2123,584097
2124,711540
2125,963060
2126,1223060
2127,292140
2128,562810
2129,1726383
2130,321960
2131,416422
2132,574720
2133,476420
2134,537800
2135,563840
2136,1456180
2137,552700
2138,1052690
2139,704710
2140,1601350
2141,1493760
2142,467980
2143,688130
2144,1425730
2145,285310
2146,662351
2147,1088640
2148,99612
2149,304240
2150,296710
2151,1135810
2152,981890
2153,24810
2154,731490
2155,1009820
2156,1056490
2157,448280
2158,204880
2159,525480
2160,1432640
2161,888650
2162,1879380
2163,710920
2164,1443092
2165,797430
2166,607050
2167,1575820
2168,1443089
2169,1662380
2170,1144582
2171,1843760
2172,1590910
2173,1235762
